"","document","topic","gamma"
"445","209",2,0.852863505965396
"446","210",2,0.999889393059283
"447","211",2,0.838774961620153
"448","212",2,0.981147971336579
"449","213",2,0.947277927461769
"450","214",2,0.99994375302437
"451","215",2,0.999951944602401
"452","216",2,0.999933970192229
"453","217",2,0.999939822411639
"454","218",2,0.999944736143974
"455","219",2,0.999946400105477
"456","220",2,0.999955263139135
"457","221",2,0.972735487358829
"458","222",2,0.999898215024469
"459","223",2,0.937393278001419
"460","224",2,0.99992405123633
"461","225",2,0.989063313209415
"462","226",2,0.999924376585305
"463","227",2,0.999925858746462
"464","228",2,0.968221597168429
"465","229",2,0.999929486523455
"466","230",2,0.999942980911454
"467","231",2,0.999939958858928
"468","232",2,0.999943422535736
"469","233",2,0.999942171523837
"470","234",2,0.999943797792091
"471","235",2,0.999940431590027
"472","236",2,0.999931669987554
"473","1",3,8.46931040570409e-05
"474","2",3,6.81976575054481e-05
"475","3",3,3.96239560188773e-05
"476","4",3,4.41677308877669e-05
"477","5",3,4.73781183618146e-05
"478","6",3,3.19216028587886e-05
"479","7",3,4.50123689832281e-05
"480","8",3,3.13546344338669e-05
"481","9",3,4.33542074999243e-05
"482","10",3,4.12038982023791e-05
"483","11",3,6.08514551351219e-05
"484","12",3,6.69053299036665e-05
"485","13",3,2.84683097133821e-05
"486","14",3,4.15269855153219e-05
"487","15",3,4.04563489845835e-05
"488","16",3,4.53011398913987e-05
"489","17",3,3.22128463615291e-05
"490","18",3,3.21639372772045e-05
"491","19",3,3.87186829215478e-05
"492","20",3,3.51528179163853e-05
"493","21",3,5.22254076353859e-05
"494","22",3,3.71241406389245e-05
"495","23",3,3.96239560206222e-05
"496","24",3,2.86802917819558e-05
"497","25",3,2.85450305590863e-05
"498","26",3,4.17726457334994e-05
"499","27",3,2.84683097136481e-05
"500","28",3,2.73474046451854e-05
"501","29",3,2.1287773968692e-05
"502","30",3,2.13413886994789e-05
"503","31",3,2.06245563733209e-05
"504","32",3,2.71720169184364e-05
"505","33",3,1.67181656780499e-05
"506","34",3,2.00108619743529e-05
"507","35",3,1.49697089420035e-05
"508","36",3,1.1382371906278e-05
"509","37",3,1.04194375391162e-05
"510","38",3,1.2431021614498e-05
"511","39",3,1.36352158170829e-05
"512","40",3,1.27951764103876e-05
"513","41",3,8.75689451529929e-06
"514","42",3,6.11790996595392e-06
"515","43",3,1.30313039256979e-05
"516","44",3,1.18902776111002e-05
"517","45",3,1.1781169872463e-05
"518","46",3,6.96470676563847e-06
"519","47",3,8.68865320201069e-06
"520","48",3,7.53712253105422e-06
"521","49",3,7.9680376528326e-06
"522","50",3,7.86012683341548e-06
"523","51",3,6.82117980080533e-06
"524","52",3,9.93796749491013e-06
"525","53",3,1.11752152209344e-05
"526","54",3,1.08295830197578e-05
"527","55",3,1.14904151818706e-05
"528","56",3,9.8000440642992e-06
"529","57",3,5.68145869047021e-06
"530","58",3,5.05148415341777e-06
"531","59",3,5.645875067039e-06
"532","60",3,4.31260030750431e-06
"533","61",3,1.20904703873215e-05
"534","62",3,1.10068287104493e-05
"535","63",3,6.93847329279538e-06
"536","64",3,9.21394942983437e-06
"537","65",3,9.29684406657129e-06
"538","66",3,8.60395908766657e-06
"539","67",3,7.70293156359146e-06
"540","68",3,8.59872049521476e-06
"541","69",3,6.66662266434293e-06
"542","70",3,5.56138986318213e-06
"543","71",3,7.39504308971425e-06
"544","72",3,6.52393336964744e-06
"545","73",3,1.29003661237629e-05
"546","74",3,1.07308393792992e-05
"547","75",3,1.44145687068705e-05
"548","76",3,1.49117532707749e-05
"549","77",3,1.00083953524654e-05
"550","78",3,1.24200892537568e-05
"551","79",3,7.50242156377721e-06
"552","80",3,8.91724161447177e-06
"553","81",3,1.17910059468377e-05
"554","82",3,1.01595921077981e-05
"555","83",3,1.37458103282799e-05
"556","84",3,8.87800186024148e-06
"557","85",3,8.8612903425355e-06
"558","86",3,9.18199991381071e-06
"559","87",3,7.33868286774699e-06
"560","88",3,1.3398063198184e-05
"561","89",3,8.26492015866715e-06
"562","90",3,1.12255506395938e-05
"563","91",3,7.62118085572789e-06
"564","92",3,6.57149235575798e-06
"565","93",3,6.62181907201173e-06
"566","94",3,8.6197132331444e-06
"567","95",3,1.05072943191275e-05
"568","96",3,9.77517231393399e-06
"569","97",3,4.45920936215108e-06
"570","98",3,5.8251891822618e-06
"571","99",3,1.68578576700112e-05
"572","100",3,6.69083715798489e-06
"573","101",3,6.91582169226253e-06
"574","102",3,7.68616252907288e-06
"575","103",3,5.60109173472984e-06
"576","104",3,6.69824173826833e-06
"577","105",3,7.04695448356188e-06
"578","106",3,5.48649145527407e-06
"579","107",3,5.93618785343692e-06
"580","108",3,5.64061347868346e-06
"581","109",3,7.29320498501017e-06
"582","110",3,4.24391494298573e-06
"583","111",3,3.80827987461854e-06
"584","112",3,4.5234819351081e-06
"585","113",3,4.51962158977439e-06
"586","114",3,9.15027120234302e-06
"587","115",3,5.81719112325756e-06
"588","116",3,5.0251220833928e-06
"589","117",3,3.55042144875843e-06
"590","118",3,3.75129520888443e-06
"591","119",3,3.23093574226457e-06
"592","120",3,4.52444805178272e-06
"593","121",3,6.32996751882442e-06
"594","122",3,3.20599824001528e-06
"595","123",3,3.69309125672688e-06
"596","124",3,3.42638177971604e-06
"597","125",3,0.0200772636976222
"598","126",3,2.11601911283663e-05
"599","127",3,0.0562914366563271
"600","128",3,4.24421769342727e-05
"601","129",3,2.46003647615215e-05
"602","130",3,0.0489632313503614
"603","131",3,0.103398620081472
"604","132",3,0.0717224876247363
"605","133",3,0.0918395036075194
"606","134",3,0.102789396262977
"607","135",3,0.0893811028632924
"608","136",3,0.151384926018983
"609","137",3,0.0864053254406043
"610","138",3,0.078363970249645
"611","139",3,0.0758227001485055
"612","140",3,0.108235339181507
"613","141",3,0.14603173777414
"614","142",3,0.181118885230583
"615","143",3,0.244152849555938
"616","144",3,0.339063757374913
"617","145",3,0.297053934150208
"618","146",3,0.390050648167476
"619","147",3,0.172769377831998
"620","148",3,0.453972922164135
"621","149",3,0.332359765231241
"622","150",3,0.528392028843461
"623","151",3,0.194124597959486
"624","152",3,0.271870944717757
"625","153",3,0.202629788947929
"626","154",3,0.383852677030149
"627","155",3,0.263659913878856
"628","156",3,0.363947873764556
"629","157",3,0.490449174993482
"630","158",3,0.708379519489682
"631","159",3,0.710703355750386
"632","160",3,0.850441096003486
"633","161",3,0.818068635958876
"634","162",3,0.760416991118733
"635","163",3,0.645973265177456
"636","164",3,0.589315009109125
"637","165",3,0.671682780928303
"638","166",3,0.642692096332269
"639","167",3,0.837983654443564
"640","168",3,0.883833792249789
"641","169",3,0.839249686981069
"642","170",3,0.8759706911122
"643","171",3,0.771804603741394
"644","172",3,0.818942809719886
"645","173",3,0.841860688472735
"646","174",3,0.768621673652771
"647","175",3,0.81966042811644
"648","176",3,0.987119934600492
"649","177",3,0.830387686888873
"650","178",3,0.71935115609594
"651","179",3,0.542399432610983
"652","180",3,0.384460814602304
"653","181",3,0.325417326922102
"654","182",3,0.388342315803034
"655","183",3,0.400431481448901
"656","184",3,0.352424735145716
"657","185",3,0.421785133645494
"658","186",3,0.286047104677152
"659","187",3,0.509535999463865
"660","188",3,0.905186434728962
"661","189",3,0.494763484832201
"662","190",3,0.999982508796783
"663","191",3,0.852470660403795
"664","192",3,0.448180851418663
"665","193",3,0.733560378564102
"666","194",3,0.550818132104534
"667","195",3,0.999969414866638
"668","196",3,0.660752719614932
"669","197",3,0.999982333757182
"670","198",3,0.740309505354794
"671","199",3,0.999988615170911
"672","200",3,0.524035644816324
"673","201",3,0.999988811790169
"674","202",3,0.343581842634931
"675","203",3,0.36275152918142
"676","204",3,0.145717696718582
"677","205",3,0.135859191885117
"678","206",3,2.28122146900222e-05
"679","207",3,0.0323881438558652
"680","208",3,0.0633845984839807
"681","209",3,0.147067665915085
"682","210",3,2.21213881441053e-05
"683","211",3,0.161140482076439
"684","212",3,0.0187850502837862
"685","213",3,0.0526718027227652
"686","214",3,1.1249395128635e-05
"687","215",3,9.61107952009267e-06
"688","216",3,1.32059615561716e-05
"689","217",3,1.20355176739051e-05
"690","218",3,1.10527712066035e-05
"691","219",3,1.07199789071027e-05
"692","220",3,8.94737217396515e-06
"693","221",3,0.0271913144902634
"694","222",3,2.0356995106164e-05
"695","223",3,0.0291371908950164
"696","224",3,1.51897527339661e-05
"697","225",3,0.0108734804275278
"698","226",3,1.51246829390161e-05
"699","227",3,1.48282507075044e-05
"700","228",3,0.0317228791709057
"701","229",3,1.41026953111514e-05
"702","230",3,1.14038177110742e-05
"703","231",3,1.2008228215874e-05
"704","232",3,1.13154928545494e-05
"705","233",3,1.15656952348576e-05
"706","234",3,1.12404415834509e-05
"707","235",3,1.19136819964836e-05
"708","236",3,1.36660024899606e-05
"709","1",4,0.999576534479689
"710","2",4,0.999659011712468
"711","3",4,0.999801880219893
"712","4",4,0.944835883300372
"713","5",4,0.999763109408176
"714","6",4,0.975502578565377
"715","7",4,0.999774938155091
"716","8",4,0.99984322682782
"717","9",4,0.985698853112197
"718","10",4,0.999793980508979
"719","11",4,0.999695742724299
"720","12",4,0.999665473350472
"721","13",4,0.999857658451428
"722","14",4,0.999792365072418
"723","15",4,0.999797718255068
"724","16",4,0.99977349430053
"725","17",4,0.986590769716353
"726","18",4,0.999839180313618
"727","19",4,0.999806406585384
"728","20",4,0.999824235910411
"729","21",4,0.99973887296182
"730","22",4,0.986054301962481
"731","23",4,0.999801880219886
"732","24",4,0.987538187109091
"733","25",4,0.709626620203444
"734","26",4,0.633951847465576
"735","27",4,0.975851824862755
"736","28",4,0.999863262976772
"737","29",4,0.999893561130146
"738","30",4,0.999893293056495
"739","31",4,0.999896877218125
"740","32",4,0.999864139915402
"741","33",4,0.999916409171599
"742","34",4,0.999899945690123
"743","35",4,0.999925151455286
"744","36",4,0.999943088140463
"745","37",4,0.997960182094595
"746","38",4,0.976712005965266
"747","39",4,0.980493788705336
"748","40",4,0.991334040814812
"749","41",4,0.937238271796864
"750","42",4,0.996207480746978
"751","43",4,0.99993484348036
"752","44",4,0.990801789268567
"753","45",4,0.92924993713995
"754","46",4,0.968315275280864
"755","47",4,0.950609881522889
"756","48",4,0.762623370062066
"757","49",4,0.761479332988067
"758","50",4,0.753914635229009
"759","51",4,0.72965010806626
"760","52",4,0.819165208187334
"761","53",4,0.777400918364808
"762","54",4,0.671292298376801
"763","55",4,0.715729840245376
"764","56",4,0.700636930871654
"765","57",4,0.644790602250978
"766","58",4,0.362330439737939
"767","59",4,0.357974444350932
"768","60",4,0.759134047687091
"769","61",4,0.712727903960536
"770","62",4,0.749103505350816
"771","63",4,0.551417215022204
"772","64",4,0.532167265244981
"773","65",4,0.705588842975906
"774","66",4,0.638744902545367
"775","67",4,0.806612395570567
"776","68",4,0.822163437250479
"777","69",4,0.727104797920205
"778","70",4,0.63943373941286
"779","71",4,0.631574222761078
"780","72",4,0.860365845028789
"781","73",4,0.490430432716153
"782","74",4,0.466323448716794
"783","75",4,0.265140692869201
"784","76",4,0.242623782581055
"785","77",4,0.646471019219812
"786","78",4,0.454152988374009
"787","79",4,0.308696557730469
"788","80",4,0.136888003673909
"789","81",4,0.163672430277866
"790","82",4,0.328908081793703
"791","83",4,0.155047852165528
"792","84",4,8.87800186118406e-06
"793","85",4,8.86129034253823e-06
"794","86",4,0.0188416256050507
"795","87",4,0.0368839757015643
"796","88",4,1.33980632002966e-05
"797","89",4,0.0843612506872897
"798","90",4,1.1225550639216e-05
"799","91",4,0.0428355991290717
"800","92",4,0.00730854709432733
"801","93",4,6.62181906964369e-06
"802","94",4,8.61971323389664e-06
"803","95",4,1.05072943215991e-05
"804","96",4,9.7751723150174e-06
"805","97",4,4.45920936193131e-06
"806","98",4,5.82518918095339e-06
"807","99",4,1.68578576713342e-05
"808","100",4,6.69083715463583e-06
"809","101",4,6.91582169149951e-06
"810","102",4,7.68616252861802e-06
"811","103",4,5.60109173483398e-06
"812","104",4,6.69824173683971e-06
"813","105",4,7.04695448423955e-06
"814","106",4,5.48649145345029e-06
"815","107",4,5.93618785154796e-06
"816","108",4,5.6406134775045e-06
"817","109",4,7.2932049841177e-06
"818","110",4,4.24391494162755e-06
"819","111",4,0.0629879934968991
"820","112",4,4.52348193573129e-06
"821","113",4,4.51962158969548e-06
"822","114",4,9.15027120315654e-06
"823","115",4,5.81719112269775e-06
"824","116",4,5.02512208453296e-06
"825","117",4,3.55042144983843e-06
"826","118",4,3.75129520974747e-06
"827","119",4,3.23093574361414e-06
"828","120",4,4.52444805173754e-06
